Group,Code,Name,Description,Color,Facility Map,ZoneType,ZoneGroup,Zone Points,Zone Properties
">LAM>METRORAILBUS",171,Douglas,,"#4DE170",>LAM>METRORAILBUS>METRORAIL,>LAM>STATION,>LAM>METRORAILBUS>ON-SITE,-118.49158783292394|34.0095056007286;-118.4913839850388|34.0095056007286;-118.4913839850388|34.00935440917676;-118.49158783292394|34.00935440917676,
">LAM>METRORAILBUS",1710,Nordhoff,,"#FF8F5E",>LAM>METRORAILBUS>METRORAIL,>LAM>STATION,>LAM>METRORAILBUS>ON-SITE,-118.4952821730258|34.01666608025086;-118.4952821730258|34.01684038023526;-118.49506330483565|34.01684038023526;-118.49506330483565|34.01666608025086,
">LAM>METRORAILBUS",1711,Chatsworth,,"#FF8F5E",>LAM>METRORAILBUS>METRORAIL,>LAM>STATION,>LAM>METRORAILBUS>ON-SITE,-118.49531221363578|34.0170217940139;-118.49531221363578|34.01722455021903;-118.49503755536718|34.01722455021903;-118.49503755536718|34.0170217940139,
">LAM>METRORAILBUS",1712,Culver City,,"#214AED",>LAM>METRORAILBUS>METRORAIL,>LAM>STATION,>LAM>METRORAILBUS>ON-SITE,-118.49295039510348|34.0124515588564;-118.49295039510348|34.01258273499226;-118.49280689692122|34.01258273499226;-118.49280689692122|34.0124515588564,
">LAM>METRORAILBUS",172,El Segundo,,"#4DE170",>LAM>METRORAILBUS>METRORAIL,>LAM>STATION,>LAM>METRORAILBUS>ON-SITE,-118.49158783292394|34.00964789841382;-118.49158783292394|34.00979019586059;-118.4913839850388|34.00979019586059;-118.4913839850388|34.00964789841382,
">LAM>METRORAILBUS",173,Mariposa,,"#4DE170",>LAM>METRORAILBUS>METRORAIL,>LAM>STATION,>LAM>METRORAILBUS>ON-SITE,-118.49159319734197|34.010079236815194;-118.49141080712894|34.010079236815194;-118.49141080712894|34.00991470593088;-118.49159319734197|34.00991470593088,
">LAM>METRORAILBUS",174,Aviation/LAX,,"#4DE170",>LAM>METRORAILBUS>METRORAIL,>LAM>STATION,>LAM>METRORAILBUS>ON-SITE,-118.49144299363714|34.01013259811464;-118.49144299363714|34.0103104688705;-118.49121232366183|34.0103104688705;-118.49121232366183|34.01013259811464,
">LAM>METRORAILBUS",1749,El Monte Bus Facility,,"#696E6C",>LAM>METRORAILBUS>METRORAIL,>LAM>STATION,>LAM>METRORAILBUS>ON-SITE,-118.48575671052555|34.01368104926223;-118.48548848962406|34.01368104926223;-118.48548848962406|34.01352986514525;-118.48575671052555|34.01352986514525,
">LAM>METRORAILBUS",175,Hawthorne/Lennox,,"#4DE170",>LAM>METRORAILBUS>METRORAIL,>LAM>STATION,>LAM>METRORAILBUS>ON-SITE,-118.49096556043247|34.010163725523775;-118.49096556043247|34.0103149156346;-118.49076171254734|34.0103149156346;-118.49076171254734|34.010163725523775,
">LAM>METRORAILBUS",176,Crenshaw,,"#4DE170",>LAM>METRORAILBUS>METRORAIL,>LAM>STATION,>LAM>METRORAILBUS>ON-SITE,-118.49063833093265|34.01014593843424;-118.49063833093265|34.010319362398505;-118.49042375421146|34.010319362398505;-118.49042375421146|34.01014593843424,
">LAM>METRORAILBUS",177,Vermont/Athens,,"#4DE170",>LAM>METRORAILBUS>METRORAIL,>LAM>STATION,>LAM>METRORAILBUS>ON-SITE,-118.49030037259679|34.01015927875176;-118.49030037259679|34.01033714945174;-118.49009652471165|34.01033714945174;-118.49009652471165|34.01015927875176,
">LAM>METRORAILBUS",178,Harbor Freeway,,"#4DE170",>LAM>METRORAILBUS>METRORAIL,>LAM>STATION,>LAM>METRORAILBUS>ON-SITE,-118.4899087700806|34.01011481101855;-118.4899087700806|34.010390510589076;-118.48960836267095|34.010390510589076;-118.48960836267095|34.01011481101855,
">LAM>METRORAILBUS",179,Avalon,,"#4DE170",>LAM>METRORAILBUS>METRORAIL,>LAM>STATION,>LAM>METRORAILBUS>ON-SITE,-118.48937232827764|34.01013259811464;-118.48937232827764|34.010346042976956;-118.48913629388431|34.010346042976956;-118.48913629388431|34.01013259811464,
">LAM>METRORAILBUS",180,Willowbrook (Green),,"#4DE170",>LAM>METRORAILBUS>METRORAIL,>LAM>STATION,>LAM>METRORAILBUS>ON-SITE,-118.48893244599917|34.01013704488808;-118.48893244599917|34.01029712857676;-118.48873128032307|34.01029712857676;-118.48873128032307|34.01013704488808,
">LAM>METRORAILBUS",181,Long Beach Bl,,"#4DE170",>LAM>METRORAILBUS>METRORAIL,>LAM>STATION,>LAM>METRORAILBUS>ON-SITE,-118.48794807529072|34.010326032543894;-118.4877978715859|34.010326032543894;-118.4877978715859|34.010177065838526;-118.48794807529072|34.010177065838526,
">LAM>METRORAILBUS",182,Lakewood Bl,,"#4DE170",>LAM>METRORAILBUS>METRORAIL,>LAM>STATION,>LAM>METRORAILBUS>ON-SITE,-118.48749746417622|34.01017261906717;-118.48749746417622|34.010326032543894;-118.4873445782624|34.010326032543894;-118.4873445782624|34.01017261906717,
">LAM>METRORAILBUS",183,Norwalk,,"#4DE170",>LAM>METRORAILBUS>METRORAIL,>LAM>STATION,>LAM>METRORAILBUS>ON-SITE,-118.48710586166005|34.010177065838526;-118.48710586166005|34.010319362398505;-118.48694492911918|34.010319362398505;-118.48694492911918|34.010177065838526,
">LAM>METRORAILBUS",1873,Palms,,"#3388FF",>LAM>METRORAILBUS>METRORAIL,>LAM>STATION,>LAM>METRORAILBUS>ON-SITE,-118.49328835343938|34.01244711220416;-118.49328835343938|34.0125871816374;-118.49313814973453|34.0125871816374;-118.49313814973453|34.01244711220416,
">LAM>METRORAILBUS",1874,Westwood/Rancho Park,,"#3388FF",>LAM>METRORAILBUS>METRORAIL,>LAM>STATION,>LAM>METRORAILBUS>ON-SITE,-118.49362094735721|34.0124493355303;-118.49362094735721|34.012580511669604;-118.49346806144338|34.012580511669604;-118.49346806144338|34.0124493355303,
">LAM>METRORAILBUS",1875,Expo/Sepulveda,,"#3388FF",>LAM>METRORAILBUS>METRORAIL,>LAM>STATION,>LAM>METRORAILBUS>ON-SITE,-118.493945494648|34.01257606502414;-118.49380065536121|34.01257606502414;-118.49380065536121|34.0124426655517;-118.493945494648|34.0124426655517,
">LAM>METRORAILBUS",1876,Expo/Bundy,,"#3388FF",>LAM>METRORAILBUS>METRORAIL,>LAM>STATION,>LAM>METRORAILBUS>ON-SITE,-118.49429686402898|34.012444888877965;-118.49429686402898|34.01257606502414;-118.49412520265203|34.01257606502414;-118.49412520265203|34.012444888877965,
">LAM>METRORAILBUS",1877,26th St/Bergamot,,"#3388FF",>LAM>METRORAILBUS>METRORAIL,>LAM>STATION,>LAM>METRORAILBUS>ON-SITE,-118.49462141131977|34.0124493355303;-118.49462141131977|34.0125782883469;-118.49447388982394|34.0125782883469;-118.49447388982394|34.0124493355303,
